Age,Annual_Income_INR,State,Category,Eligible_Scheme
36,133297,West Bengal,OBC,PM Kisan
70,1102158,Tamil Nadu,ST,Atal Pension Yojana
37,986785,Rajasthan,General,National Scholarship
60,430781,Madhya Pradesh,General,Atal Pension Yojana
27,958272,Uttar Pradesh,SC,Mudra Loan
44,1142232,Bihar,ST,Stand Up India
42,265958,West Bengal,ST,Ayushman Bharat
32,779173,Gujarat,EWS,Mudra Loan
55,921266,Tamil Nadu,EWS,PM Kisan
49,96490,Gujarat,SC,PM Awas Yojana
44,745272,Maharashtra,ST,PM Kisan
33,666413,Rajasthan,General,PM Kisan
25,557646,Uttar Pradesh,EWS,Mudra Loan
57,75502,Gujarat,OBC,Ayushman Bharat
54,559108,Karnataka,EWS,National Scholarship
54,114737,Madhya Pradesh,ST,PM Kisan
41,755793,Karnataka,General,Atal Pension Yojana
52,687784,Karnataka,EWS,PM Kisan
57,1108448,Madhya Pradesh,OBC,Atal Pension Yojana
26,867679,Karnataka,ST,Mudra Loan
35,1154726,Gujarat,ST,Ayushman Bharat
40,765532,Madhya Pradesh,OBC,Ayushman Bharat
45,134661,Gujarat,General,PM Awas Yojana
29,849519,Uttar Pradesh,SC,National Scholarship
38,95628,Madhya Pradesh,ST,Ayushman Bharat
24,1127303,Madhya Pradesh,EWS,National Scholarship
20,145093,Uttar Pradesh,SC,PM Awas Yojana
35,486435,Gujarat,SC,Mudra Loan
18,1009287,Karnataka,SC,Mudra Loan
27,1185054,Madhya Pradesh,ST,Mudra Loan
63,1006457,Gujarat,OBC,Atal Pension Yojana
67,111137,Uttar Pradesh,ST,PM Awas Yojana
48,1067429,Uttar Pradesh,SC,Ayushman Bharat
36,307677,Karnataka,OBC,PM Awas Yojana
63,1120327,Bihar,General,Atal Pension Yojana
59,761470,Uttar Pradesh,ST,Atal Pension Yojana
37,961657,Tamil Nadu,OBC,PM Awas Yojana
42,190097,Karnataka,EWS,PM Kisan
71,1072649,Maharashtra,SC,Atal Pension Yojana
56,807708,Rajasthan,SC,Atal Pension Yojana
52,1021419,Maharashtra,EWS,Atal Pension Yojana
28,1082910,Gujarat,EWS,Mudra Loan
73,515158,West Bengal,General,Atal Pension Yojana
50,982059,Madhya Pradesh,General,Atal Pension Yojana
48,117143,Bihar,OBC,Ayushman Bharat
31,921567,Tamil Nadu,EWS,Stand Up India
27,146446,Uttar Pradesh,General,PM Kisan
53,941544,Maharashtra,EWS,National Scholarship
44,801594,Gujarat,OBC,Ayushman Bharat
71,552277,Maharashtra,SC,Atal Pension Yojana
63,68797,Tamil Nadu,EWS,PM Awas Yojana
26,1064673,Bihar,General,Mudra Loan
76,341636,Uttar Pradesh,ST,Atal Pension Yojana
46,449191,Maharashtra,General,Mudra Loan
26,869260,Gujarat,OBC,Mudra Loan
60,198559,Uttar Pradesh,SC,PM Awas Yojana
39,178386,Uttar Pradesh,General,PM Kisan
27,734843,Karnataka,OBC,National Scholarship
54,511231,Rajasthan,SC,Mudra Loan
48,51382,Rajasthan,General,PM Kisan
75,187344,Bihar,EWS,Ayushman Bharat
19,1037303,Madhya Pradesh,ST,Mudra Loan
69,437275,Rajasthan,SC,Atal Pension Yojana
54,603043,Gujarat,General,Atal Pension Yojana
74,1047661,West Bengal,SC,Atal Pension Yojana
38,852943,Maharashtra,General,PM Kisan
72,860561,Madhya Pradesh,General,Atal Pension Yojana
40,353784,Bihar,General,Stand Up India
80,706343,Karnataka,OBC,Atal Pension Yojana
34,285836,Bihar,General,Ayushman Bharat
42,488737,Madhya Pradesh,General,Stand Up India
28,1112684,Bihar,EWS,National Scholarship
63,483101,Gujarat,EWS,Atal Pension Yojana
36,358989,Karnataka,General,PM Kisan
53,696577,Maharashtra,General,National Scholarship
41,597574,Rajasthan,SC,Stand Up India
20,702305,Gujarat,SC,Mudra Loan
40,1049206,Karnataka,General,PM Awas Yojana
54,1000349,Gujarat,OBC,Mudra Loan
33,574613,Gujarat,SC,Atal Pension Yojana
26,204715,West Bengal,OBC,Mudra Loan
57,51211,West Bengal,EWS,Ayushman Bharat
26,305080,Tamil Nadu,SC,National Scholarship
65,1082885,Bihar,OBC,Atal Pension Yojana
80,1109785,Rajasthan,EWS,Atal Pension Yojana
70,1012222,Madhya Pradesh,General,Atal Pension Yojana
77,1019794,Rajasthan,OBC,Atal Pension Yojana
62,198480,West Bengal,ST,PM Awas Yojana
75,82751,Rajasthan,OBC,PM Kisan
70,1183649,Karnataka,General,Atal Pension Yojana
21,1035627,Gujarat,General,Mudra Loan
31,390044,Karnataka,General,Ayushman Bharat
58,784598,Gujarat,ST,Atal Pension Yojana
34,359988,Tamil Nadu,OBC,National Scholarship
27,962277,Rajasthan,General,National Scholarship
21,683183,West Bengal,SC,Mudra Loan
62,1019060,West Bengal,ST,Atal Pension Yojana
62,702354,Bihar,General,Atal Pension Yojana
36,720493,Bihar,OBC,Mudra Loan
79,1158129,Maharashtra,SC,Atal Pension Yojana
36,326417,West Bengal,OBC,Atal Pension Yojana
57,325108,Maharashtra,ST,Atal Pension Yojana
79,849224,Madhya Pradesh,ST,Atal Pension Yojana
72,228245,Tamil Nadu,ST,Atal Pension Yojana
42,844333,Madhya Pradesh,EWS,Ayushman Bharat
33,1180595,Karnataka,SC,Mudra Loan
77,793127,West Bengal,ST,Atal Pension Yojana
38,825225,Karnataka,SC,National Scholarship
24,691144,Rajasthan,General,Mudra Loan
55,716538,Gujarat,EWS,National Scholarship
20,700711,West Bengal,ST,Mudra Loan
80,752663,Rajasthan,EWS,Atal Pension Yojana
57,285598,Madhya Pradesh,OBC,Atal Pension Yojana
80,867324,Maharashtra,OBC,Atal Pension Yojana
46,244176,Karnataka,General,Atal Pension Yojana
60,570275,Uttar Pradesh,EWS,Atal Pension Yojana
20,582760,Bihar,EWS,Mudra Loan
18,441831,West Bengal,SC,Mudra Loan
70,460597,Gujarat,EWS,Atal Pension Yojana
39,183303,West Bengal,OBC,PM Awas Yojana
35,191755,Uttar Pradesh,General,Ayushman Bharat
43,299610,West Bengal,SC,Ayushman Bharat
68,253560,West Bengal,ST,Atal Pension Yojana
46,919789,West Bengal,OBC,Atal Pension Yojana
67,284318,West Bengal,EWS,Atal Pension Yojana
35,538389,Tamil Nadu,OBC,Ayushman Bharat
35,507139,Maharashtra,OBC,Stand Up India
57,1106418,Gujarat,EWS,Atal Pension Yojana
75,173271,Uttar Pradesh,EWS,Ayushman Bharat
63,475832,Tamil Nadu,OBC,Atal Pension Yojana
34,910449,West Bengal,SC,Stand Up India
61,624347,West Bengal,OBC,Atal Pension Yojana
67,934409,West Bengal,General,Atal Pension Yojana
72,382988,Uttar Pradesh,OBC,Atal Pension Yojana
28,107657,Tamil Nadu,ST,PM Awas Yojana
45,612299,Rajasthan,General,National Scholarship
62,754020,Gujarat,SC,Atal Pension Yojana
31,1062852,Karnataka,SC,Mudra Loan
36,337993,Rajasthan,General,PM Awas Yojana
28,137533,Tamil Nadu,OBC,Ayushman Bharat
70,1012180,Gujarat,EWS,Atal Pension Yojana
61,826018,Uttar Pradesh,OBC,Atal Pension Yojana
37,1190010,West Bengal,EWS,Ayushman Bharat
61,1131832,Bihar,EWS,Atal Pension Yojana
22,1107623,Tamil Nadu,OBC,Mudra Loan
21,279899,Karnataka,OBC,National Scholarship
33,1025747,Rajasthan,General,Atal Pension Yojana
47,722709,Tamil Nadu,General,Stand Up India
32,876431,Maharashtra,General,Ayushman Bharat
24,382357,Bihar,EWS,National Scholarship
24,626061,Bihar,OBC,Mudra Loan
73,199540,Uttar Pradesh,EWS,PM Awas Yojana
76,1016843,Karnataka,SC,Atal Pension Yojana
55,337667,Tamil Nadu,SC,PM Awas Yojana
37,513279,Madhya Pradesh,ST,PM Awas Yojana
59,180451,Uttar Pradesh,SC,Ayushman Bharat
53,221845,Rajasthan,General,PM Awas Yojana
59,253602,Tamil Nadu,General,Atal Pension Yojana
80,207316,Rajasthan,SC,Atal Pension Yojana
46,269333,Madhya Pradesh,ST,PM Awas Yojana
22,80398,Madhya Pradesh,SC,Ayushman Bharat
65,273040,Bihar,OBC,Atal Pension Yojana
37,171911,Bihar,SC,Ayushman Bharat
46,538539,Gujarat,General,PM Kisan
53,427662,Gujarat,OBC,Stand Up India
32,843307,West Bengal,OBC,Atal Pension Yojana
48,1023930,Karnataka,SC,Stand Up India
74,803012,West Bengal,ST,Atal Pension Yojana
28,220244,West Bengal,ST,National Scholarship
76,199431,Maharashtra,SC,PM Awas Yojana
18,441796,Uttar Pradesh,OBC,Mudra Loan
49,808285,Uttar Pradesh,SC,Atal Pension Yojana
21,965080,Uttar Pradesh,EWS,Mudra Loan
37,1076052,Gujarat,SC,Atal Pension Yojana
20,498084,Tamil Nadu,OBC,National Scholarship
44,682436,Tamil Nadu,OBC,Atal Pension Yojana
53,1073748,Maharashtra,SC,Ayushman Bharat
39,226528,Bihar,ST,PM Kisan
78,81271,Tamil Nadu,SC,PM Awas Yojana
77,1169829,Tamil Nadu,ST,Atal Pension Yojana
44,58160,Rajasthan,General,PM Kisan
25,404838,Rajasthan,ST,Mudra Loan
53,843052,Tamil Nadu,SC,Ayushman Bharat
52,654193,West Bengal,ST,Ayushman Bharat
22,318772,Maharashtra,EWS,Mudra Loan
